契約番号	取引先番号	契約年月日	請求番号	請求金額	手数料額
CTR-40877-A10-00253	CUS00253	2011-11-30	IVC-40877-A10-00253	490000	30000
CTR-40877-A10-00790	CUS00790	2011-11-30	IVC-40877-A10-00790	870000	50000
CTR-40877-A10-00840	CUS00840	2011-11-30	IVC-40877-A10-00840	670000	40000
CTR-40877-A1-00092	CUS00092	2011-11-30	IVC-40877-A1-00092	690000	40000
CTR-40877-A1-00122	CUS00122	2011-11-30	IVC-40877-A1-00122	1400000	70000
CTR-40877-A1-00291	CUS00291	2011-11-30	IVC-40877-A1-00291	3860000	190000
CTR-40877-A1-00302	CUS00302	2011-11-30	IVC-40877-A1-00302	3050000	150000
CTR-40877-A1-00317	CUS00317	2011-11-30	IVC-40877-A1-00317	1040000	50000
CTR-40877-A1-00357	CUS00357	2011-11-30	IVC-40877-A1-00357	690000	40000
CTR-40877-A1-00407	CUS00407	2011-11-30	IVC-40877-A1-00407	490000	30000
CTR-40877-A1-00410	CUS00410	2011-11-30	IVC-40877-A1-00410	2030000	100000
CTR-40877-A1-00482	CUS00482	2011-11-30	IVC-40877-A1-00482	690000	40000
CTR-40877-A1-00593	CUS00593	2011-11-30	IVC-40877-A1-00593	1370000	70000
CTR-40877-A1-00613	CUS00613	2011-11-30	IVC-40877-A1-00613	970000	50000
CTR-40877-A1-00770	CUS00770	2011-11-30	IVC-40877-A1-00770	1830000	90000
CTR-40877-A1-00784	CUS00784	2011-11-30	IVC-40877-A1-00784	180000	10000
CTR-40877-A1-00790	CUS00790	2011-11-30	IVC-40877-A1-00790	180000	10000
CTR-40877-A1-00805	CUS00805	2011-11-30	IVC-40877-A1-00805	670000	40000
CTR-40877-A1-00907	CUS00907	2011-11-30	IVC-40877-A1-00907	1150000	60000
CTR-40877-A1-00989	CUS00989	2011-11-30	IVC-40877-A1-00989	490000	30000
CTR-40877-A1-01002	CUS01002	2011-11-30	IVC-40877-A1-01002	490000	30000
CTR-40877-A11-00253	CUS00253	2011-11-30	IVC-40877-A11-00253	2210000	110000
CTR-40877-A11-00295	CUS00295	2011-11-30	IVC-40877-A11-00295	2050000	100000
CTR-40877-A11-00576	CUS00576	2011-11-30	IVC-40877-A11-00576	870000	50000
CTR-40877-A11-00617	CUS00617	2011-11-30	IVC-40877-A11-00617	870000	50000
CTR-40877-A11-00700	CUS00700	2011-11-30	IVC-40877-A11-00700	1150000	60000
CTR-40877-A11-00840	CUS00840	2011-11-30	IVC-40877-A11-00840	870000	50000
CTR-40877-A11-01001	CUS01001	2011-11-30	IVC-40877-A11-01001	670000	40000
CTR-40877-A12-00780	CUS00780	2011-11-30	IVC-40877-A12-00780	1170000	60000
CTR-40877-A12-00822	CUS00822	2011-11-30	IVC-40877-A12-00822	670000	40000
CTR-40877-A12-01001	CUS01001	2011-11-30	IVC-40877-A12-01001	180000	10000
CTR-40877-A12-01002	CUS01002	2011-11-30	IVC-40877-A12-01002	840000	40000
CTR-40877-A13-01002	CUS01002	2011-11-30	IVC-40877-A13-01002	490000	30000
CTR-40877-A15-00561	CUS00561	2011-11-30	IVC-40877-A15-00561	180000	10000
CTR-40877-A15-00647	CUS00647	2011-11-30	IVC-40877-A15-00647	490000	30000
CTR-40877-A16-00538	CUS00538	2011-11-30	IVC-40877-A16-00538	1530000	80000
CTR-40877-A17-00903	CUS00903	2011-11-30	IVC-40877-A17-00903	1170000	60000
CTR-40877-A17-00950	CUS00950	2011-11-30	IVC-40877-A17-00950	2510000	120000
CTR-40877-A17-00951	CUS00951	2011-11-30	IVC-40877-A17-00951	1810000	90000
