î[ïiî‘çÜ,å_ñÒî‘çÜ,î[ïiì˙,ã@äÌå^î‘
DLV-00120384,CTR-40877-A10-00253,2011-12-31,MCN000009
DLV-00120385,CTR-40877-A10-00790,2011-12-31,MCN000014
DLV-00120386,CTR-40877-A10-00790,2011-12-31,MCN000001
DLV-00120387,CTR-40877-A10-00840,2011-12-31,MCN000009
DLV-00120388,CTR-40877-A10-00840,2011-12-31,MCN000001
DLV-00120389,CTR-40877-A1-00092,2011-12-31,MCN000014
DLV-00120390,CTR-40877-A1-00122,2011-12-31,MCN000001
DLV-00120391,CTR-40877-A1-00122,2011-12-31,MCN000001
DLV-00120392,CTR-40877-A1-00122,2011-12-31,MCN000001
DLV-00120393,CTR-40877-A1-00122,2011-12-31,MCN000014
DLV-00120394,CTR-40877-A1-00122,2011-12-31,MCN000001
DLV-00120395,CTR-40877-A1-00291,2011-12-31,MCN000001
DLV-00120396,CTR-40877-A1-00291,2011-12-31,MCN000009
DLV-00120397,CTR-40877-A1-00291,2011-12-31,MCN000009
DLV-00120398,CTR-40877-A1-00291,2011-12-31,MCN000001
DLV-00120399,CTR-40877-A1-00291,2011-12-31,MCN000014
DLV-00120400,CTR-40877-A1-00291,2011-12-31,MCN000009
DLV-00120401,CTR-40877-A1-00291,2011-12-31,MCN000014
DLV-00120402,CTR-40877-A1-00291,2011-12-31,MCN000014
DLV-00120403,CTR-40877-A1-00302,2011-12-31,MCN000001
DLV-00120404,CTR-40877-A1-00302,2011-12-31,MCN000009
DLV-00120405,CTR-40877-A1-00302,2011-12-31,MCN000014
DLV-00120406,CTR-40877-A1-00302,2011-12-31,MCN000009
DLV-00120407,CTR-40877-A1-00302,2011-12-31,MCN000001
DLV-00120408,CTR-40877-A1-00302,2011-12-31,MCN000001
DLV-00120409,CTR-40877-A1-00302,2011-12-31,MCN000001
DLV-00120410,CTR-40877-A1-00302,2011-12-31,MCN000014
DLV-00120411,CTR-40877-A1-00317,2011-12-31,MCN000014
DLV-00120412,CTR-40877-A1-00317,2011-12-31,MCN000001
DLV-00120413,CTR-40877-A1-00317,2011-12-31,MCN000001
DLV-00120414,CTR-40877-A1-00357,2011-12-31,MCN000014
DLV-00120415,CTR-40877-A1-00407,2011-12-31,MCN000009
DLV-00120416,CTR-40877-A1-00410,2011-12-31,MCN000014
DLV-00120417,CTR-40877-A1-00410,2011-12-31,MCN000014
DLV-00120418,CTR-40877-A1-00410,2011-12-31,MCN000001
DLV-00120419,CTR-40877-A1-00410,2011-12-31,MCN000009
DLV-00120420,CTR-40877-A1-00482,2011-12-31,MCN000014
DLV-00120421,CTR-40877-A1-00593,2011-12-31,MCN000014
DLV-00120422,CTR-40877-A1-00593,2011-12-31,MCN000014
DLV-00120423,CTR-40877-A1-00613,2011-12-31,MCN000009
DLV-00120424,CTR-40877-A1-00613,2011-12-31,MCN000009
DLV-00120425,CTR-40877-A1-00770,2011-12-31,MCN000014
DLV-00120426,CTR-40877-A1-00770,2011-12-31,MCN000009
DLV-00120427,CTR-40877-A1-00770,2011-12-31,MCN000009
DLV-00120428,CTR-40877-A1-00770,2011-12-31,MCN000001
DLV-00120429,CTR-40877-A1-00784,2011-12-31,MCN000001
DLV-00120430,CTR-40877-A1-00790,2011-12-31,MCN000001
DLV-00120431,CTR-40877-A1-00805,2011-12-31,MCN000009
DLV-00120432,CTR-40877-A1-00805,2011-12-31,MCN000001
DLV-00120433,CTR-40877-A1-00907,2011-12-31,MCN000009
DLV-00120434,CTR-40877-A1-00907,2011-12-31,MCN000001
DLV-00120435,CTR-40877-A1-00907,2011-12-31,MCN000009
DLV-00120436,CTR-40877-A1-00989,2011-12-31,MCN000009
DLV-00120437,CTR-40877-A1-01002,2011-12-31,MCN000009
DLV-00120438,CTR-40877-A11-00253,2011-12-31,MCN000014
DLV-00120439,CTR-40877-A11-00253,2011-12-31,MCN000009
DLV-00120440,CTR-40877-A11-00253,2011-12-31,MCN000001
DLV-00120441,CTR-40877-A11-00253,2011-12-31,MCN000001
DLV-00120442,CTR-40877-A11-00253,2011-12-31,MCN000014
DLV-00120443,CTR-40877-A11-00295,2011-12-31,MCN000014
DLV-00120444,CTR-40877-A11-00295,2011-12-31,MCN000014
DLV-00120445,CTR-40877-A11-00295,2011-12-31,MCN000014
DLV-00120446,CTR-40877-A11-00576,2011-12-31,MCN000014
DLV-00120447,CTR-40877-A11-00576,2011-12-31,MCN000001
DLV-00120448,CTR-40877-A11-00617,2011-12-31,MCN000001
DLV-00120449,CTR-40877-A11-00617,2011-12-31,MCN000014
DLV-00120450,CTR-40877-A11-00700,2011-12-31,MCN000009
DLV-00120451,CTR-40877-A11-00700,2011-12-31,MCN000009
DLV-00120452,CTR-40877-A11-00700,2011-12-31,MCN000001
DLV-00120453,CTR-40877-A11-00840,2011-12-31,MCN000001
DLV-00120454,CTR-40877-A11-00840,2011-12-31,MCN000014
DLV-00120455,CTR-40877-A11-01001,2011-12-31,MCN000001
DLV-00120456,CTR-40877-A11-01001,2011-12-31,MCN000009
DLV-00120457,CTR-40877-A12-00780,2011-12-31,MCN000009
DLV-00120458,CTR-40877-A12-00780,2011-12-31,MCN000014
DLV-00120459,CTR-40877-A12-00822,2011-12-31,MCN000001
DLV-00120460,CTR-40877-A12-00822,2011-12-31,MCN000009
DLV-00120461,CTR-40877-A12-01001,2011-12-31,MCN000001
DLV-00120462,CTR-40877-A12-01002,2011-12-31,MCN000001
DLV-00120463,CTR-40877-A12-01002,2011-12-31,MCN000009
DLV-00120464,CTR-40877-A12-01002,2011-12-31,MCN000001
